symbol,name
20MICRONS,20 Microns
21STCENMGM,21st Cent Mgt
360ONE,360 One Wam
3BBLACKBIO,3B Blackbio Dx
3IINFOLTD,3i Infotech
3MINDIA,3M India
3PLAND,3P Land Holdings
5PAISA,5Paisa Capital
63MOONS,63 Moons Tech
A2ZINFRA,A2Z Infra Engg
AAATECH,AAA Technologies
AADHARHFC,Aadhar Housing Fin
AARNAV,Aarnav Fashions
AARON,Aaron Industries
AARTECH,Aartech Solonics
AARTIDRUGS,Aarti Drugs
AARTIIND,Aarti Industries
AARTIPHARM,Aarti Pharmalabs
AARTISURF,Aarti Surfactant
AARVI,Aarvi Encon
AAVAS,Aavas Financiers
ABB,ABB India
ABBOTINDIA,Abbott India
ABCAPITAL,Aditya Birla Cap
ABCOTS,AB Cotspin India
ABDL,Allied Blenders
ABFRL,ABFRL
ABINFRA,AB Infrabuild
ABLBL,Aditya Birla Lifesty
ABMINTLLTD,Abm International
ABMKNO,ABM Knowledgeware
ABREL,Aditya Birla Real
ABSL10BANK,ABSL10BANK
ABSLAMC,Aditya Birla Sun AMC
ABSLBANETF,ABSLBANETF
ABSLLIQUID,ABSLLIQUID
ABSLMSCIN,ABSLMSCIN
ABSLNN50ET,ABSLNN50ET
ABSLPSE,ABSLPSE
ACC,ACC
ACCELYA,Accelya Solutions
ACCURACY,Accuracy Shipping
ACE,Action Const Equip
ACEINTEG,Ace Integrated Soln
ACI,Archean Chem Inds
ACL,Andhra Cements
ACMESOLAR,Acme Solar Holdings
ACSTECH,ACS Technologies
ACUTAAS,Acutaas Chemicals
ADANIENSOL,Adani Energy Solut.
ADANIENT,Adani Enterprises
ADANIGREEN,Adani Green Energy
ADANIPORTS,Adani Ports &Special
ADANIPOWER,Adani Power
ADFFOODS,ADF Foods
ADL,Archidply Decor
ADOR,Ador Welding
ADROITINFO,Adroit Infotech
ADSL,Allied Digital Serv.
ADVAIT,Advait Energy
ADVANCE,Advance Agrolife
ADVANIHOTR,Advani Hotels
ADVENTHTL,Advent Hotels Inter.
ADVENZYMES,Advanced Enzyme
AEGISLOG,Aegis Logistics
AEGISVOPAK,Aegis Vopak Terminal
AEPL,Artemis Electricals
AEQUS,Aequs
AEROENTER,AEROFLEX ENTERPRISES LIMITED
AEROFLEX,Aeroflex Industries
AERONEU,Aeroflex Neu
AETHER,Aether Inds
AFCONS,Afcons Infra
AFFLE,Affle 3i
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Inds Corp
AGARWALEYE,Dr. Agarwal's Health
AGI,AGI Greenpac
AGIIL,AGI Infra
AGRITECH,Agri-Tech India
AGROPHOS,Agro Phos India
AHCL,Anlon Healthcare
AHLADA,Ahlada Engineers
AHLEAST,Asian Hotels East
AHLUCONT,Ahluwalia Contracts
AIAENG,AIA Engineering
AIIL,Authum Invstmnt
AIRAN,Airan
AIROLAM,AiroLam
AJANTPHARM,Ajanta Pharma
AJAXENGG,Ajax Engineering
AJMERA,Ajmera Realty
AJOONI,Ajooni Biotech
AKASH,Akash Infra-Projects
AKCAPIT,AK Capital Serv
AKG,AKG Exim
AKI,AKI India
AKSHAR,Akshar Spintex
AKSHARCHEM,Aksharchem (India)
AKUMS,Akums Drugs & Pharmaceuticals
ALANKIT,Alankit
ALBERTDAVD,Albert David
ALEMBICLTD,Alembic
ALGOQUANT,Algoquant Fintec
ALICON,Alicon Castalloy
ALIVUS,Alivus Life Sciences
ALKEM,Alkem Laboratories
ALKYLAMINE,Alkyl Amines Chem
ALLCARGO,Allcargo Logistics
ALLDIGI,Alldigi Tech
ALLTIME,All Time Plastics
ALMONDZ,Almondz Global Sec
ALOKINDS,Alok Industries
ALPA,Alpa Laboratories
ALPHA,KOTAKALPHA
ALPHAETF,ALPHAETF
ALPHAGEO,Alphageo (India)
ALPL30IETF,ALPHALIETF
AMAGI,Amagi Media Labs
AMANTA,Amanta Healthcare
AMBALALSA,Ambalal Sarabhai Ent
AMBER,Amber Enterprises
AMBICAAGAR,Ambica Agarbathies
AMBIKCO,Ambika Cotton Mills
AMBUJACEM,Ambuja Cement
AMDIND,AMD Industries
AMIRCHAND,Amir Chand Jagdish
AMJLAND,AMJ Land Holdings
AMNPLST,Amines & Plasticizers
AMRUTANJAN,Amrutanjan Health
ANANDRATHI,Anand Rathi Weal
ANANTRAJ,Anant Raj
ANDHRAPAP,Andhra Paper
ANDHRSUGAR,Andhra Sugars
ANGELONE,Angel One
ANMOL,Anmol India
ANTELOPUS,Antelopus Selan Ener
ANTGRAPHIC,Antarctica
ANTHEM,Anthem Biosciences
ANUHPHR,Anuh Pharma
ANUP,Anup Engineering
ANURAS,Anupam Rasayan
AONEGOLD,AONEGOLD
AONELIQUID,AONELIQUID
AONENIFTY,AONENIFTY
AONESILVER,Angel One Silver ETF
AONETMMQ50,AONETMMQ50
AONETOTAL,AONETOTAL
APARINDS,Apar Industries
APCL,Anjani Portland Cem.
APCOTEXIND,Apcotex Industries
APEX,Apex Frozen Foods
APLAPOLLO,APL Apollo Tubes
APLLTD,Alembic Pharma
APOLLO,Apollo Micro Systems
APOLLOHOSP,Apollo Hospitals
APOLLOPIPE,Apollo Pipes
APOLLOTYRE,Apollo Tyres
APOLSINHOT,Apollo Sindoori Hotels
APTECHT,Aptech
APTUS,Aptus Value Housing
AQYLON,Aqylon Nexus
ARCHIDPLY,Archidply Industries
ARCHIES,Archies
ARE&M,Amara Raja Energy
ARENTERP,Rajdarshan Inds
ARFIN,Arfin India
ARIES,Aries Agro
ARIHANT,Arihant Foundations
ARIHANTCAP,Arihant Capital
ARIHANTSUP,Arihant Superstructures
ARIS,Arisinfra Solutions
ARKADE,Arkade Developers
ARMANFIN,Arman Financial Serv
AROGRANITE,Aro Granite Inds
ARROWGREEN,Arrow Greentech
ARSSBL,Anand Rathi Share
ARTEMISMED,Artemis Medicare
ARTNIRMAN,Art Nirman
ARVEE,Arvee Labs (India)
ARVIND,Arvind
ARVINDFASN,Arvind Fashions
ARVSMART,Arvind Smartspaces
ASAHIINDIA,Asahi India Glass
ASAHISONG,Asahi Songwon
ASAL,Automotive Stamping
ASALCBR,Assoc Alcohol & Brew
ASHAPURMIN,Ashapura Minechem
ASHIANA,Ashiana Housing
ASHIKA,Ashika Credit Capital
ASHIMASYN,Ashima
ASHOKA,Ashoka Buildcon
ASHOKAMET,Ashoka Metcast
ASHOKLEY,Ashok Leyland
ASIANENE,Asian Energy Serv
ASIANHOTNR,Asian Hotels North
ASIANPAINT,Asian Paints
ASIANTILES,Asian Granito India
ASKAUTOLTD,ASK Automotive
ASMS,Avio Smart Market
ASPINWALL,Aspinwall & Co
ASTAR,Asian Star Co
ASTEC,Astec Lifesciences
ASTERDM,Aster DM Healthcare
ASTRAL,Astral
ASTRAMICRO,Astra Micro Wave
ASTRAZEN,Astrazeneca Pharma
ATALREAL,Atal Realtech
ATAM,Atam Valves
ATGL,Adani Total Gas
ATHERENERG,Ather Energy
ATL,Allcargo Terminal
ATLANTAA,Atlantaa
ATLANTAELE,Atlanta Electricals
ATLASCYCLE,Atlas Cycles Haryana
ATUL,Atul
ATULAUTO,Atul Auto
AUBANK,AU Small Fin. Bank
AURIGROW,Auri Grow India
AURIONPRO,Aurionpro Solutions
AUROPHARMA,Aurobindo Pharma
AURUM,Aurum Proptech
AUTOAXLES,Auto.Axle
AUTOBEES,NETFAUTO
AUTOIETF,ICICIAUTO
AVAILFC,Available Finance
AVALON,Avalon Technologies
AVANTEL,Avantel
AVANTIFEED,Avanti Feeds
AVG,AVG Logistics
AVL,Aditya Vision
AVONMORE,Avonmore Capital
AVROIND,Avro India
AVTNPL,AVT Natural Prod
AWFIS,Awfis Space Solution
AWHCL,Antony Waste
AWL,AWL Agri Business
AXISBANK,Axis Bank
AXISBNKETF,AXISBNKETF
AXISCADES,Axiscades Tech
AXISCETF,AXISCETF
AXISGOLD,AXISGOLD
AXISHCETF,AXISHCETF
AXISILVER,AXISILVER
AXISNIFTY,AXIS NIFTY ETF
AXISTECETF,AXISTECETF
AXISVALUE,AXISVALUE
AXITA,Axita Cotton
AXSENSEX,AXISPEGP
AYE,AYE Finance
AYMSYNTEX,Aym Syntex
AZAD,Azad Engineering
BAFNAPH,Bafna Pharma
BAGFILMS,BAG Films & Media
BAIDFIN,Baid Leasing & Fin
